BCW_ID,ratio,bin
BCW_200910,1.0,G
BCW_200509,1.0,G
BCW_200535,1.0,G
BCW_201054,1.0,G
BCW_201997,1.0,G
BCW_201620,1.0,G
BCW_200315,1.0,G
BCW_200644,1.0,G
BCW_201654,1.0,G
BCW_201297,1.0,G
BCW_200973,1.0,G
BCW_200317,1.0,G
BCW_201453,1.0,G
BCW_202006,1.0,G
BCW_200785,1.0,G
BCW_200891,1.0,G
BCW_201292,1.0,G
BCW_200577,1.0,G
BCW_201058,1.0,G
BCW_201028,1.0,G
BCW_200267,1.0,G
BCW_201308,1.0,G
BCW_200950,1.0,G
BCW_200646,1.0,G
BCW_200990,1.0,G
BCW_200269,1.0,G
BCW_201107,1.0,G
BCW_201222,1.0,G
BCW_200568,1.0,G
BCW_200294,1.0,G
BCW_201919,1.0,G
BCW_200008,1.0,G
BCW_200053,1.0,G
BCW_200018,1.0,G
BCW_200019,1.0,G
BCW_200045,1.0,G
BCW_200048,1.0,G
BCW_200086,1.0,G
BCW_200141,1.0,G
BCW_200009,1.0,G
BCW_200226,1.0,G
BCW_200025,1.0,G
BCW_200085,1.0,G
BCW_200049,1.0,G
BCW_200213,1.0,G
BCW_200203,1.0,G
BCW_200240,1.0,G
BCW_200216,1.0,G
BCW_200237,1.0,G
BCW_200178,1.0,G
BCW_200109,1.0,G
BCW_200095,1.0,G
BCW_200052,1.0,G
BCW_200205,1.0,G
BCW_200006,1.0,G
BCW_200202,1.0,G
BCW_200084,1.0,G
BCW_200156,1.0,G
BCW_200040,1.0,G
BCW_200013,1.0,G
BCW_200088,1.0,G
BCW_200076,1.0,G
BCW_200005,1.0,G
BCW_200041,1.0,G
BCW_200064,1.0,G
BCW_200129,1.0,G
BCW_200184,1.0,G
BCW_200154,1.0,G
BCW_200147,1.0,G
BCW_200003,0.9,H
BCW_200055,0.9,H
BCW_200047,0.9,H
BCW_200077,0.9,H
BCW_200046,0.9,H
BCW_200101,0.9,H
BCW_200026,0.9,H
BCW_200123,0.9,H
BCW_200142,0.9,H
BCW_200118,0.9,H
BCW_200105,0.9,H
BCW_200132,0.9,H
BCW_200081,0.9,H
BCW_200191,0.9,H
BCW_200120,0.9,H
BCW_200188,0.9,H
BCW_200192,0.9,H
BCW_200177,0.9,H
BCW_200225,0.9,H
BCW_200164,0.9,H
BCW_200194,0.9,H
BCW_200065,0.9,H
BCW_200146,0.9,H
BCW_200110,0.9,H
BCW_200073,0.9,H
BCW_200217,0.9,H
BCW_200135,0.9,H
BCW_200067,0.9,H
BCW_200220,0.9,H
BCW_200212,0.9,H
BCW_200165,0.9,H
BCW_200228,0.9,H
BCW_200195,0.9,H
BCW_200155,0.9,H
BCW_200172,0.9,H
BCW_200214,0.9,H
BCW_200231,0.9,H
BCW_200001,0.9,H
BCW_200224,0.9,H
BCW_200152,0.9,H
BCW_200127,0.9,H
BCW_200218,0.9,H
BCW_200137,0.9,H
BCW_200197,0.9,H
BCW_200236,0.9,H
BCW_200219,0.9,H
BCW_200122,0.9,H
BCW_200183,0.9,H
BCW_200234,0.9,H
BCW_200140,0.8,H
BCW_200204,0.8,H
BCW_200119,0.8,H
BCW_200124,0.8,H
BCW_200032,0.8,H
BCW_200151,0.8,H
BCW_200233,0.8,H
BCW_200162,0.8,H
BCW_200149,0.8,H
BCW_200136,0.8,H
BCW_200157,0.8,H
BCW_200153,0.8,H
BCW_200112,0.8,H
BCW_200133,0.8,H
BCW_200098,0.8,H
BCW_200011,0.8,H
BCW_200170,0.8,H
BCW_200200,0.8,H
BCW_200106,0.8,H
BCW_200148,0.8,H
BCW_200078,0.8,H
BCW_200176,0.8,H
BCW_200033,0.8,H
BCW_200171,0.8,H
BCW_200161,0.8,H
BCW_200145,0.8,H
BCW_200222,0.8,H
BCW_200063,0.8,H
BCW_200144,0.8,H
BCW_200221,0.8,H
BCW_200182,0.8,H
BCW_200180,0.8,H
BCW_200100,0.8,H
BCW_200023,0.8,H
BCW_200168,0.8,H
BCW_200131,0.7,H
BCW_200075,0.7,H
BCW_200079,0.6,H
BCW_200030,0.6,H
