m/z	15N					
2303.8	0.024					
1857.9	0.024					
1419.6	0.024					
664.7	0.024					
1539.3	0.024					
1609.1	0.024					
1928.1	0.024					
2005.9	0.024					
2011.4	0.024					
1868.5	0.024					
602.4	0.024					
2021.3	0.024					
675.8	0.024					
897.4	0.024					
1685.5	0.024					
1871.6	0.024					
1623.1	0.024					
1815.6	0.024					
1646.4	0.024					
440.7	0.024					
580.6	0.024					
238.0	0.024					
1779.0	0.024					
824.5	0.024					
1854.6	0.024					
404.2	0.024					
1873.8	0.024					
840.2	0.024					
1927.0	0.024					
524.3	0.024					
1648.5	0.024					
1093.1	0.024					
735.5	0.024					
1889.7	0.024					
1268.3	0.024					
1773.6	0.024					
1714.2	0.024					
271.1	0.024					
497.2	0.024					
885.7	0.024					
1589.9	0.024					
1938.6	0.024					
1536.1	0.024					
1459.8	0.024					
1944.0	0.024					
1064.8	0.024					
1254.5	0.024					
1197.6	0.024					
1121.4	0.024					
707.5	0.024					
351.1	0.024					
1756.8	0.024					
357.1	0.024					
476.2	0.024					
1839.6	0.024					
1909.8	0.024					
1722.7	0.024					
842.3	0.024					
1602.7	0.024					
196.0	0.024					
1644.3	0.024					
1381.6	0.024					
1703.5	0.024					
1770.5	0.024					
881.5	0.024					
1608.0	0.024					
1663.3	0.024					
612.4	0.024					
304.1	0.024					
1987.8	0.024					
714.8	0.024					
2062.2	0.024					
2063.3	0.024					
426.3	0.024					
1965.4	0.024					
826.5	0.024					
1826.6	0.024					
276.2	0.023					
1907.7	0.023					
2304.9	0.023					
812.3	0.023					
1713.1	0.023					
1855.7	0.023					
1840.7	0.023					
352.1	0.023					
1967.5	0.023					
1988.9	0.023					
366.1	0.023					
595.0	0.023					
2079.5	0.023					
1537.2	0.023					
2009.2	0.023					
1416.5	0.023					
2064.4	0.023					
935.6	0.023					
1520.3	0.023					
1771.5	0.023					
1772.6	0.023					
2043.8	0.023					
1972.9	0.023					
1784.3	0.023					
274.1	0.023					
1853.6	0.023					
1869.6	0.023					
1742.8	0.023					
395.4	0.023					
2041.5	0.023					
1921.6	0.023					
1508.9	0.023					
2111.7	0.023					
711.7	0.023					
450.8	0.023					
898.4	0.023					
692.1	0.023					
1610.2	0.023					
1917.4	0.023					
1051.3	0.023					
1884.4	0.023					
2190.8	0.023					
1981.4	0.023					
1089.9	0.023					
1737.6	0.023					
1524.5	0.023					
680.4	0.023					
586.5	0.023					
1872.7	0.023					
2023.4	0.023					
1654.9	0.023					
424.2	0.023					
1083.7	0.023					
2135.5	0.023					
1930.2	0.023					
2234.9	0.023					
1436.5	0.023					
1718.4	0.023					
2119.5	0.023					
1971.8	0.023					
2071.9	0.023					
1479.6	0.023					
1861.1	0.023					
1418.6	0.023					
290.2	0.023					
630.5	0.023					
1067.9	0.023					
1883.3	0.023					
1957.9	0.023					
1810.0	0.023					
1904.6	0.023					
2207.9	0.023					
910.0	0.023					
168.0	0.023					
868.7	0.023					
2185.2	0.023					
841.2	0.023					
1721.6	0.023					
1828.7	0.023					
1885.6	0.023					
320.1	0.023					
